id,id_old,x_geo [pixels],y_geo [pixels],z_geo [pixels],x [pixels],y [pixels],z [pixels],x_min [pixels],x_max [pixels],y_min [pixels],y_max [pixels],z_min [pixels],z_max [pixels],n_pix,n_chan [channels],n_los [pixels],ell3s_maj [pixels],ell3s_min [pixels],ell3s_pa [deg],ell_maj [pixels],ell_min [pixels],ell_pa [deg],f_int [K],f_peak [K],f_wm50 [K],kin_pa [deg],rms [K],snr_int,w20 [channels],w50 [channels],wm50 [channels],ra [deg],dec [deg],vopt [m/s]
1000235.017,17.0,433.231,180.882,532.609,433.208,180.998,533.539,430.0,437.0,174.0,185.0,507.0,562.0,1513.0,55.0,46.0,5.6058,2.6769,19.9494,4.5382,2.377,22.7257,487.3691,1.1715,5.1681,199.364,0.2138,58.6102,47.9075,35.0775,51.5412,97.038028,1.1082949,-360671.32
1000235.023,23.0,361.186,179.713,527.638,361.154,179.928,527.613,356.0,366.0,172.0,188.0,506.0,552.0,3829.0,46.0,122.0,7.6102,5.0709,-4.0148,7.4119,4.8518,-5.9145,1125.3249,1.1339,7.7217,233.8161,0.2197,82.7709,38.0857,25.7371,41.0504,98.238931,1.0904628,-365033.4
1000235.025,25.0,409.155,180.043,536.001,408.8,179.981,535.704,404.0,416.0,175.0,185.0,508.0,565.0,2535.0,57.0,89.0,6.5234,5.0186,88.9175,5.7471,4.309,-87.0674,852.5717,1.3184,11.557,267.1714,0.22,76.9608,46.0182,28.5959,47.8914,97.444839,1.0913444,-359077.87
1000235.029,29.0,386.505,371.367,530.854,386.188,371.433,531.106,381.0,396.0,366.0,379.0,506.0,558.0,3579.0,52.0,112.0,6.955,5.228,46.9913,6.0163,4.726,51.906,1105.0115,1.4042,38.2217,175.5925,0.2242,82.3722,39.662,31.3669,33.7024,97.821701,4.282227,-362462.39
1000235.033,33.0,110.068,176.147,555.809,109.779,175.924,555.46,105.0,117.0,169.0,183.0,529.0,578.0,3420.0,49.0,123.0,7.3876,5.2367,-20.5548,7.5827,4.4294,-17.0275,1062.132,1.3815,23.7138,169.266,0.2243,80.9627,34.6313,21.7827,33.8282,102.42852,1.0237305,-344535.11
1000235.04,43.0,476.691,166.105,546.669,476.607,166.028,546.681,474.0,482.0,164.0,169.0,525.0,565.0,598.0,40.0,24.0,4.2119,1.8432,-72.5618,4.0776,1.5525,-74.2645,247.5608,1.1492,11.4758,283.6049,0.22,46.0138,35.8882,21.4208,23.0158,96.314715,0.85879528,-350997.69
1000235.043,47.0,91.341,175.938,540.515,91.209,176.074,539.997,87.0,98.0,173.0,181.0,518.0,564.0,1304.0,46.0,52.0,6.2027,3.1585,67.693,6.3723,2.8004,66.6807,470.5279,1.2003,0.0,250.2713,0.2238,58.2214,35.0864,21.2972,0.0,102.73803,1.0262284,-355917.96
1000235.268,471.0,266.41,316.809,1131.991,266.494,316.844,1130.132,261.0,272.0,312.0,324.0,1115.0,1151.0,2120.0,36.0,99.0,6.0975,5.2278,-7.1639,5.0613,4.459,2.3364,898.8417,1.3526,0.0,142.7676,0.226,86.3882,28.2527,14.7558,0.0,99.81661,3.3724048,78494.311
1000235.331,585.0,492.167,167.726,1158.985,492.081,167.733,1158.981,490.0,497.0,161.0,175.0,1145.0,1175.0,1240.0,30.0,66.0,7.337,3.0554,-5.6848,7.201,2.7737,-5.5223,299.6192,0.7916,20.6883,335.5429,0.2043,41.6516,23.5215,15.7956,16.474,96.056812,0.88722656,99730.338
1000235.38,679.0,176.376,291.991,1151.838,176.088,291.767,1151.275,170.0,184.0,287.0,299.0,1132.0,1175.0,2631.0,43.0,113.0,6.9608,5.1728,-48.6964,5.7326,4.4707,-47.6183,844.9588,1.056,0.0,276.6583,0.1961,83.9911,31.2375,17.6637,0.0,101.32338,2.9544629,94057.875
1000235.408,726.0,328.959,373.408,1390.42,328.854,373.369,1390.335,323.0,333.0,370.0,377.0,1366.0,1412.0,959.0,46.0,39.0,5.7947,2.9418,-71.7514,5.2963,2.6289,-70.5238,316.4298,1.0964,7.8745,113.7356,0.2101,48.6446,35.1963,27.1379,34.2621,98.777278,4.3144978,270035.38
1000235.41,728.0,356.217,374.572,1367.287,356.605,374.588,1366.78,351.0,360.0,371.0,378.0,1341.0,1393.0,1247.0,52.0,45.0,5.1053,3.4338,83.1615,4.0324,2.9834,84.5096,581.7884,1.6255,17.6052,298.7257,0.2319,71.0484,43.3767,19.3468,30.1202,98.314751,4.3348067,252696.13
