id,id_old,x_geo [pixels],y_geo [pixels],z_geo [pixels],x [pixels],y [pixels],z [pixels],x_min [pixels],x_max [pixels],y_min [pixels],y_max [pixels],z_min [pixels],z_max [pixels],n_pix,n_chan [channels],n_los [pixels],ell3s_maj [pixels],ell3s_min [pixels],ell3s_pa [deg],ell_maj [pixels],ell_min [pixels],ell_pa [deg],f_int [K],f_peak [K],f_wm50 [K],kin_pa [deg],rms [K],snr_int,w20 [channels],w50 [channels],wm50 [channels],ra [deg],dec [deg],vopt [m/s],y/n/m,notes,"AGCnr, Name",ALFALFA notes,cube notes
920235.019,19,34.81,178.561,541.096,34.694,178.509,541.044,29,41,173,186,523,566,2289,43,100,7.3586,4.8299,-37.1102,7.7942,4.5612,-35.7278,583.2816,1.1096,14.7925,149.3122,0.2205,55.2913,29.795,17.6391,29.7403,95.679935,1.0668221,-355147.04,n,-370 km/s cluster,,,
920235.023,23,286.852,182.924,525.229,286.768,183.17,524.627,284,290,179,187,507,546,593,39,25,4.4346,1.826,30.6484,3.8627,1.5382,27.7274,205.9354,0.9213,7.8749,215.9167,0.2105,40.1799,32.4972,22.3064,29.5349,91.478689,1.1445021,-367231.77,n,,,,
920235.03,30,74.965,367.975,538.401,74.823,368.253,536.802,68,81,362,374,505,567,1631,62,75,7.6648,3.3508,-46.4974,7.4908,2.9845,-43.6494,528.4994,1.1379,6.7533,140.7726,0.2082,62.8441,56.5289,44.8221,56.4577,95.011116,4.2292209,-358269.32,n,-370 km/s cluster,,,
920235.031,31,356.946,373.149,524.309,356.841,373.193,524.201,351,361,369,380,501,555,1285,54,59,5.5852,4.8512,-65.9796,4.958,3.9081,18.3604,381.0405,1.0005,15.4077,218.1207,0.2041,52.0822,40.5104,25.8401,34.4406,90.310803,4.3115628,-367545.25,n,-370 km/s cluster,,,
920235.032,33,54.971,174.994,520.03,55.187,175.208,520.455,50,60,171,180,503,543,1250,40,57,5.2173,3.8039,74.2967,4.6959,3.3518,85.5853,419.2821,1.265,15.9957,281.3696,0.2164,54.8057,30.1492,26.743,28.0388,95.338384,1.0117945,-370302.7,n,-370 km/s cluster,,,
920235.033,34,111.802,172.387,519.371,111.852,172.468,519.871,108,117,170,176,503,537,817,34,38,5.1688,2.5199,-73.6241,5.4558,2.096,-70.878,272.7434,1.0497,7.8486,105.1534,0.2212,43.13,28.5931,20.2104,28.0512,94.393954,0.96613101,-370732.59,n,-370 km/s cluster,,,
920235.034,35,124.363,369.42,531.323,124.234,369.59,530.522,121,130,364,375,503,558,2260,55,67,5.2505,4.0003,-23.2104,4.8435,3.5432,4.3835,580.3071,1.0468,22.6448,207.4421,0.1977,61.7353,43.57,28.7786,32.0714,94.187594,4.2515005,-362892.67,n,-370 km/s cluster,,,
920235.037,38,83.262,172.063,526.818,83.284,171.632,526.309,81,86,168,177,504,549,870,45,31,4.5915,1.9712,19.6248,4.1914,1.5482,15.0631,373.3505,1.2076,6.2571,19.6479,0.2225,56.8892,38.0953,28.9113,38.3024,94.870104,0.95220756,-365993.54,n,-370 km/s cluster,,,
920235.041,46,179.78,369.895,553.964,179.521,370.363,552.912,177,185,363,378,532,576,2087,44,79,6.7601,3.6734,9.777,6.247,3.0141,13.323,595.9807,1.1741,0,195.576,0.1998,65.2826,33.9544,20.8756,0,93.266136,4.2643933,-346410.67,n,-370 km/s cluster,,,
920235.042,47,213.952,173.805,550.804,213.9,173.795,550.229,211,219,172,177,535,569,764,34,32,4.2573,2.4163,-87.3825,4.2711,2.1041,-86.3038,219.2827,0.8826,5.8203,103.9383,0.2106,37.6703,31.4265,22.9089,31.0782,92.69316,0.98824901,-348385.27,n,,,,
920235.156,244,107.257,286.316,1147.221,107.374,286.148,1148.712,100,118,281,292,1121,1174,3465,53,110,7.7092,4.5506,65.7491,6.3193,4.0398,59.3685,916.285,1.1664,33.5609,67.2382,0.1887,82.5009,40.3115,31.398,31.8949,94.468598,2.8608068,92171.11,m,,,,
920235.205,329,24.061,362.185,1108.362,24.117,362.181,1107.057,20,28,357,367,1094,1122,588,28,40,5.3035,2.236,-38.1543,4.5429,1.925,-40.1136,216.653,1.1159,0,330.189,0.258,34.6348,23.0797,17.0392,0,95.856212,4.1280204,61508.38,n,,,,
920235.226,382,27.798,163.057,1162.697,27.85,163.076,1162.74,23,34,159,168,1147,1180,1114,33,62,6.5295,2.6554,57.8954,6.0892,2.6375,57.9976,279.4648,1.0281,13.2021,231.3147,0.2017,41.5078,24.7461,16.2859,23.5476,95.793994,0.80960618,102497.72,n,,,,
920235.261,442,301.526,232.455,1130.52,301.624,232.389,1130.09,296,307,229,238,1111,1152,1458,41,68,5.1189,4.029,-69.7404,4.3202,3.4582,-58.798,485.2153,1.1849,24.4687,176.2437,0.2057,61.7674,26.7878,20.5617,25.3253,91.231092,1.9648186,78463.255,y,,,,
920235.282,467,92.414,290.752,1150.283,92.176,290.659,1150.316,88,99,288,294,1129,1171,1322,42,50,5.1756,2.9292,-86.6335,4.6714,2.5006,-86.0186,360.1398,0.8947,5.7027,277.1331,0.1907,51.9306,32.2007,21.8364,33.1049,94.721891,2.9359917,93352.233,n,,,,
920235.285,472,37.785,156.973,1169.563,37.739,156.898,1169.303,35,41,153,162,1155,1185,856,30,45,4.5884,2.995,-7.8137,4.2885,2.6213,-7.0903,215.2781,0.8924,32.5675,204.2913,0.1983,37.1148,25.5969,18.0555,0.0173,95.629173,0.70662714,107328.72,n,,,,
