id,id_old,x_geo [pixels],y_geo [pixels],z_geo [pixels],x [pixels],y [pixels],z [pixels],x_min [pixels],x_max [pixels],y_min [pixels],y_max [pixels],z_min [pixels],z_max [pixels],n_pix,n_chan [channels],n_los [pixels],ell3s_maj [pixels],ell3s_min [pixels],ell3s_pa [deg],ell_maj [pixels],ell_min [pixels],ell_pa [deg],f_int [K],f_peak [K],f_wm50 [K],kin_pa [deg],rms [K],snr_int,w20 [channels],w50 [channels],wm50 [channels],ra [deg],dec [deg],vopt [m/s],y/n/m,notes,"AGCnr, Name",ALFALFA notes,cube notes
40235.018,28,205.194,508.169,947.71,205.205,508.283,948.933,200,212,502,512,928,969,1369,41,61,6.4663,3.1889,-54.6489,5.3431,2.8186,-57.8993,529.533,1.0207,3.5861,110.0323,0.2077,68.9164,29.5922,20.295,37.3456,4.8378947,6.563064,-54890.694,n,edge,,,
40235.024,39,363.237,400.996,947.496,363.262,400.963,948.247,357,371,394,410,931,964,3176,33,149,7.9174,6.227,-24.7314,7.0917,5.4442,-38.4303,1430.0963,1.455,104.4542,27.6453,0.2108,120.4052,21.1694,14.7283,13.3609,2.2036126,4.7743912,-55395.491,m,,,,
40235.055,83,12.619,91.613,985.476,12.662,91.557,985.048,6,19,88,97,975,996,666,21,70,6.094,3.8684,84.5939,5.7359,3.5152,-87.4324,193.4883,1.1565,12.0454,77.919,0.2635,28.4526,16.7998,14.8857,15.8586,8.0469571,-0.38238017,-28305.383,n,,,,
41035.007,8,474.359,58.498,511.773,474.27,58.4,511.561,470,482,52,67,494,533,2854,39,124,7.6733,5.0402,34.0016,7.4409,4.5714,32.4512,621.1703,0.8097,20.0788,19.0379,0.1932,60.1839,25.5514,18.8485,23.5025,0.35347093,7.065016,-376849.93,n,,,,
43435.005,5,265.244,217.794,873.607,265.539,217.819,873.78,258,274,211,225,856,893,3425,37,155,7.5955,5.9406,55.192,7.3228,5.3095,57.4589,871.2309,0.9141,77.4896,192.3305,0.2026,73.4734,29.0865,17.6609,10.6748,3.8323297,33.722055,-110212.32,m,,,,
43435.018,25,214.757,27.893,911.167,214.704,27.912,911.672,213,218,24,34,894,926,580,32,34,4.123,2.2503,-3.536,3.9433,2.0436,1.1524,128.2544,0.7518,0,337.1457,0.1814,29.3614,25.5882,15.4935,0,4.6795766,30.55693,-82319.055,n,,,,
43435.021,29,335.499,171.59,922,335.455,171.636,921.969,333,340,168,177,904,940,1116,36,49,4.4509,3.4789,9.9666,3.9214,3.0002,2.914,231.8267,0.6749,7.8249,1.5093,0.1607,43.1918,29.1582,15.6663,28.7703,2.6670579,32.952337,-74739.122,n,,,,
43435.027,38,198.414,385.452,931.354,198.433,385.424,931.35,194,206,380,399,909,953,2010,44,92,6.5103,5.3424,-0.3784,6.0854,4.6893,-1.1288,436.6986,0.8549,6.2621,101.5022,0.2059,47.2975,36.1318,27.8169,38.7645,4.9507634,36.51548,-67834.057,n,,,,
43435.044,68,118.97,436.73,953.257,118.847,436.642,954.496,111,126,431,443,930,976,3970,46,135,7.8438,5.6407,71.0001,7.222,4.8931,71.1392,1271.577,1.1977,0,265.8578,0.2064,97.7982,31.2763,22.0935,0,6.2772067,37.369107,-50795.509,n,edge,,,
43435.156,268,396.798,17.038,1057.368,396.812,17.178,1056.673,390,406,13,23,1042,1074,2454,32,129,7.7999,5.0854,80.1872,7.1031,4.6421,82.6228,643.8652,1.0188,0,235.4544,0.1798,72.2957,22.4229,15.573,0,1.6444424,30.378032,24419.433,n,,,,
43435.207,352,268.546,293.296,1235.14,268.482,293.341,1234.747,265,272,288,298,1215,1264,449,49,35,5.813,2.2321,-24.9283,4.4835,1.7083,-27.2981,266.8579,1.7578,8.0821,151.8204,0.2548,49.433,38.9689,25.7302,37.6905,3.7832783,34.980755,155503.78,n,,,,
120235.002,2,475.18,366.293,255.532,475.155,366.365,255.973,473,479,363,371,226,280,934,54,37,4.1973,2.3409,-11.4951,3.0148,1.8426,-12.7389,639.893,2.992,0,353.0506,0.1976,105.9594,36.1223,17.6762,0,8.3387452,4.1977662,-564994.34,y,,,,
120235.005,9,340.319,428.003,519.098,340.377,427.868,519.392,337,346,421,434,495,545,2675,50,89,6.5386,4.5268,-5.6572,5.8449,3.8101,-6.3085,765.8601,0.9743,40.7204,346.3621,0.2015,73.489,38.3237,26.9067,26.0028,10.585043,5.2228078,-371085.21,n,,,,
120235.009,13,327.852,419.682,546.812,327.942,419.874,545.717,324,333,415,425,523,572,1894,49,61,4.7623,3.9956,-3.5478,3.9606,3.2596,-2.4638,643.5724,1.1921,24.8807,134.292,0.1994,74.1543,41.2183,29.89,31.7089,10.792289,5.0895762,-351706.99,y,,,,
120235.016,22,3.534,470.999,938.704,3.418,471.012,940.278,0,9,465,479,914,965,2674,51,86,6.587,4.1697,-3.5236,5.271,3.7744,-5.3391,1075.2144,1.1914,18.5909,225.0747,0.2105,98.7748,38.8162,27.4357,38.7435,16.201042,5.941882,-61261.39,n,,,,
120235.031,45,293.543,501.239,938.706,293.802,501.48,940.275,287,301,497,507,922,954,1834,32,102,6.8437,4.6103,86.4583,5.8077,3.9142,85.6126,896.4122,1.347,21.7672,257.2458,0.2514,83.2668,23.8017,15.1754,24.2727,11.361291,6.4496756,-61263.579,m,,,,
120235.049,82,195.216,470.099,952.291,195.001,470.04,952.892,192,200,466,475,936,971,1092,35,50,4.0778,3.8601,-0.039,3.7504,3.3089,-7.7626,489.1749,1.1005,25.94,193.4059,0.2335,63.3905,25.6362,17.0864,21.4527,13.007989,5.9256806,-51976.338,m,,,,
120235.079,131,349.62,273.661,966.742,349.647,273.542,966.855,346,354,269,279,950,985,1167,35,53,5.1138,3.1939,-19.819,4.4646,2.8319,-21.5768,572.408,1.2783,21.8075,331.1002,0.2652,63.1839,26.6607,20.7991,25.0831,10.430537,2.6507007,-41697.706,n,,,,
120235.089,153,225.789,423.058,986.383,225.832,422.974,986.771,221,232,418,429,971,1002,1680,31,84,6.4371,4.0145,52.7835,5.5828,3.4283,53.6811,808.176,1.1096,49.0177,54.8238,0.2601,75.807,25.6916,22.258,19.8702,12.494131,5.1412456,-27037.117,n,,,,
123435.005,6,233.555,4.888,502.54,233.464,4.721,502.287,227,241,0,12,480,526,3821,46,127,6.8543,5.8,88.7505,6.2945,5.2766,-83.421,807.5599,0.8126,22.9524,104.9026,0.1723,75.8403,33.6862,23.7747,32.0738,12.366927,30.170409,-383677.11,n,edge,,,
123435.007,8,200.421,63.14,565.676,200.58,63.246,565.184,195,207,57,71,545,589,3420,44,116,7.7134,5.007,-32.3366,7.3849,4.3132,-32.3317,657.2443,0.8045,13.0737,359.6919,0.1607,69.9468,36.7151,25.1059,36.7174,12.914992,31.145831,-337376.64,m,,,,
123435.012,13,214.794,313.344,876.436,214.746,313.351,876.181,212,218,307,319,867,886,433,19,39,5.9596,1.9364,-18.0987,5.1642,1.8965,-19.474,140.3348,1.0211,8.1929,155.5026,0.2291,29.4369,16.5305,15.1967,16.2498,12.678898,35.314249,-108444.8,n,,,,
123435.016,17,185.999,124.129,943.726,186.298,123.942,945.115,182,192,121,129,923,965,1274,42,51,4.9935,3.2553,62.3284,4.0527,2.855,60.5822,440.6861,1.5306,27.0465,256.7735,0.162,76.2268,30.4947,22.6522,22.1551,13.153041,32.157429,-57701.107,m,,,,
200235.004,6,450.422,159.837,796.425,450.512,159.887,796.309,447,454,156,163,774,822,723,48,33,4.0335,2.5945,-39.1365,2.3742,1.9181,-53.0861,595.1695,3.5866,13.9185,317.4307,0.2834,78.1066,39.7384,29.9693,39.4324,16.749465,0.75645634,-167240.27,n,,,,
200235.006,8,256.208,296.352,887.767,256.225,296.232,888.139,252,260,291,301,872,906,900,34,45,5.0638,2.7547,33.2496,4.2687,2.6017,34.0589,215.466,0.8574,5.3144,217.1321,0.2104,34.1294,29.7664,20.5921,29.8526,19.987602,3.0288656,-99642.085,n,,,,
200235.04,49,445.929,410.897,944.821,445.958,410.838,945.738,443,450,406,416,927,961,1218,34,60,5.3836,3.5887,12.8388,4.807,3.0961,16.8958,408.7852,0.8544,7.9442,229.3359,0.2151,54.4568,26.7401,17.0367,27.587,16.825379,4.9389749,-57242.339,n,,,,
200235.148,227,160.777,437.406,1097.936,160.981,437.414,1097.797,157,165,435,441,1081,1115,645,34,37,4.1649,2.7365,-85.621,3.5029,2.2627,-88.3823,269.0929,1.1503,0,95.3787,0.2079,50.958,26.2969,14.5988,0,21.575001,5.3819044,54691.655,m,,,,
201035.004,11,330.034,39.389,927.643,330.013,39.382,927.855,325,337,35,45,910,947,1718,37,83,5.4979,4.5168,-66.1401,5.1991,4.0812,-70.967,407.3558,0.8771,0,293.3446,0.202,48.6501,28.9544,21.2942,0,18.757786,6.7480465,-70406.729,n,,,,
201035.006,13,417.149,150.781,920.585,417.063,150.75,920.972,413,422,147,156,904,938,1097,34,59,4.3781,4.2328,3.2032,4.0264,3.5902,-28.9368,251.909,0.8115,17.4665,231.2741,0.1943,39.1348,27.3477,18.5624,18.3216,17.306963,8.6041785,-75473.477,n,,,,
201035.019,28,484.091,3.785,945.109,484.101,3.448,944.956,480,489,0,10,920,967,1954,47,66,4.9755,4.2113,-18.3084,4.4641,3.8012,-14.5452,526.9234,1.1367,0,354.5582,0.1964,60.6937,33.9029,25.5908,0,16.18966,6.149138,-57818.379,n,edge,,,
201035.02,29,445.918,217.582,936.102,445.903,217.403,936.134,442,450,212,224,920,952,1403,32,70,5.9059,3.535,-10.984,5.404,3.2728,-10.0847,355.0339,0.9501,16.2802,346.4098,0.196,48.366,26.9053,19.2232,24.4175,16.826283,9.715077,-64311.747,n,,,,
201035.023,32,256.465,358.095,937.165,256.545,358.141,937.207,252,262,354,363,921,956,1489,35,72,5.635,3.7447,-47.3779,4.9049,3.4493,-49.2299,364.2362,0.8026,0,289.2183,0.2042,46.2275,28.5839,15.4032,0,19.982256,12.060708,-63522.462,n,,,,
201035.024,33,453.155,19.102,938.936,453.154,19.294,939.226,449,458,14,25,923,956,1248,33,61,5.9816,2.9378,30.7326,5.2806,2.7257,29.3922,335.3996,0.86,15.8075,198.3068,0.2074,45.7726,27.7639,18.2732,20.9903,16.705447,6.4132504,-62036.18,n,,,,
201035.034,49,2.737,151.432,951.046,2.582,151.694,951.471,0,7,148,157,937,965,720,28,43,4.9697,2.677,27.6845,4.3402,2.4675,28.5096,211.3079,0.9177,11.5499,31.8247,0.2022,38.9448,20.5977,15.0649,16.933,24.214992,8.6199231,-53022.293,n,edge,,,
201035.048,70,100.061,504.005,977.432,100.252,504.21,976.788,93,107,498,510,960,998,2178,38,98,7.945,3.8191,-61.5864,7.2812,3.4453,-62.2353,552.3341,0.8894,16.9153,292.0855,0.2017,58.6715,27.6224,18.8051,27.1118,22.587157,14.495204,-34385.769,n,edge,,,
202635.009,20,444.985,447.957,476.454,444.957,448.115,476.903,442,449,444,452,458,498,1003,40,41,4.0012,3.0487,-15.9736,3.6274,2.6778,-19.7352,219.9267,0.7582,6.3977,53.5009,0.1719,40.3949,32.6358,31.3326,32.3172,16.842063,29.560314,-402362.76,n,,,,
202635.019,36,507.895,489.285,545.618,507.865,489.288,545.254,506,511,486,494,533,559,484,26,33,4.065,1.991,3.1468,3.7134,2.0191,3.1386,94.4327,0.6377,3.0384,189.8673,0.1778,24.1378,19.1472,14.6305,19.3648,15.793591,30.246535,-352047.69,n,,,,
202635.021,41,52.647,165.401,660.679,52.374,165.183,661.369,48,57,162,169,650,672,187,22,29,5.4817,1.6724,-62.5637,5.2354,1.9734,-63.6166,60.8194,1.1936,3.252,122.6424,0.2815,15.7985,20.0586,15.8701,19.9702,23.385121,24.844771,-266573.2,n,,,,
202635.022,43,335.134,387.255,535.142,335.271,387.342,534.945,330,342,384,391,521,551,1122,30,57,6.0881,2.9903,-78.8264,5.5775,2.5575,-79.4171,254.3212,0.6465,13.5253,274.9917,0.1573,48.2726,23.408,18.2781,19.7863,18.670158,28.547419,-359636.18,m,,,,
202635.027,55,102.371,498.844,772.014,102.102,498.65,773.255,98,110,495,505,753,792,1387,39,75,6.8802,3.3566,-55.0791,5.8483,3.0018,-53.3134,554.6067,1.1931,23.8564,112.3371,0.251,59.3382,31.4561,19.8755,25.35,22.556324,30.402558,-184211.13,y,,x,,"not unified, negative pixels nearby"
202635.255,442,493.832,317.163,1090.653,493.767,317.071,1089.717,490,498,312,323,1074,1108,1181,34,67,5.3048,3.6808,-21.3864,4.3653,3.3064,-7.7343,274.348,0.7627,0,158.5022,0.1627,49.0796,21.1974,15.5127,0,16.028561,27.376233,48743.589,y,,x,,not unified
203435.007,11,270.424,67.885,506.863,270.416,67.893,506.325,267,275,65,71,490,524,890,34,39,4.2252,2.9523,85.2405,3.9399,2.5374,89.4917,222.6673,0.6335,8.2152,83.3357,0.1382,54.0235,28.8626,20.5668,25.7389,19.751081,31.223272,-380704.6,n,,,,
283435.004,5,478.214,30.076,808.232,478.26,30.157,808.401,474,483,27,35,794,825,641,31,40,5.1855,2.3022,-50.4112,4.662,2.0474,-52.3891,201.3423,0.8604,4.8119,125.3677,0.2152,36.9623,27.1397,19.7037,27.2532,24.287015,30.594336,-158338.98,n,,,,
283435.051,77,181.445,399.112,972.62,181.518,399.18,972.119,174,188,391,409,958,989,3250,31,180,7.9583,6.6434,4.1191,7.4819,5.9031,0.7028,1282.6997,1.3413,0,354.9304,0.2666,84.3871,22.4252,15.2182,0,29.232733,36.744746,-37822.602,m,,,,
283435.056,87,171.322,114.12,989.374,171.545,114.006,989.646,166,180,110,118,968,1005,1669,37,89,6.8694,3.7867,76.7373,6.4082,3.5166,79.9897,497.4295,0.8637,0,31.6706,0.2583,47.1325,22.5966,17.2876,0,29.398947,31.991824,-24920.349,n,,,,
283435.069,106,201.553,99.643,969.501,201.688,99.608,969.778,197,207,97,104,954,986,1278,32,57,5.406,3.2345,88.0074,5.1108,2.9436,84.4864,396.5824,1.0515,27.1093,255.5502,0.2203,50.3509,24.7664,18.77,19.1703,28.896559,31.751865,-39546.021,n,,,,
283435.195,340,332.757,235.236,1877.583,332.703,235.384,1878.403,330,336,230,239,1849,1905,781,56,32,4.8658,2.1777,3.3635,3.888,1.8332,5.5647,335.9022,1.6844,8.6687,14.7169,0.2701,44.5056,47.7003,40.7454,45.0398,26.712969,34.014805,629313.76,n,,,,
360235.011,24,485.066,104.911,609.351,485.118,104.843,609.142,481,489,102,110,589,631,1251,42,48,4.0874,3.5431,88.919,3.6784,3.3141,56.4939,304.2131,0.8888,11.5032,124.4932,0.2153,39.9462,35.6559,26.814,29.6082,32.172744,-0.16094709,-305018.59,n,,,,
360235.014,30,480.922,87.372,627.985,480.962,87.515,628.029,479,484,83,95,612,645,907,33,47,6.2851,2.3721,-0.7454,5.1708,2.314,0.9907,238.4856,0.8759,6.9011,180.843,0.2124,37.28,26.0653,14.9442,26.2492,32.242008,-0.44975658,-291115.52,n,,,,
360235.016,34,22.717,117.597,805.037,22.765,117.48,804.627,18,30,115,122,787,824,1137,37,55,6.7202,2.8167,68.997,6.2594,2.517,69.9316,339.8691,1.1104,8.4013,258.6288,0.2372,42.4926,31.676,18.2003,32.106,39.878643,0.049659451,-161117.72,n,,,,
360235.18,317,280.472,239.443,1307.607,280.474,239.452,1308.187,278,283,235,245,1286,1330,890,44,41,5.3972,2.5101,11.9376,4.7406,2.0946,12.5577,238.6878,1.141,9.1291,343.8777,0.2596,30.8153,29.529,24.2185,26.5394,35.583476,2.082542,209564.53,n,,,,
363435.055,84,262.519,58.241,969.094,262.534,58.331,969.09,259,267,54,64,958,981,692,23,51,5.3997,2.7718,36.3935,4.6293,2.4886,33.1438,275.3215,1.0171,10.7297,30.0639,0.2439,42.916,18.8489,15.193,18.1983,35.882474,31.06392,-40052.59,n,,,,
440235.012,23,404.092,459.624,691.128,404.142,459.644,691.074,399,409,457,464,673,711,1230,38,57,5.4149,3.2429,-83.3206,4.6632,2.9268,-86.0499,323.9069,0.9184,5.9856,274.2112,0.2047,45.113,33.2006,26.1517,33.6306,41.522364,5.7524178,-244706.22,m,,,,
440235.014,25,368.427,484.066,668.043,368.527,484.048,667.79,362,376,478,494,645,693,4152,48,138,6.9225,6.6126,-8.4787,6.1476,5.8355,-53.4214,1204.0973,0.9638,22.1431,198.4937,0.217,86.1006,35.285,25.5688,35.1075,42.115947,6.1591429,-261846.22,m,,,,
440235.018,32,24.298,509.038,689.828,24.169,509.244,689.333,19,30,507,512,673,708,921,35,47,5.663,2.512,82.6288,4.6579,2.3512,82.2457,342.4648,1.1947,14.829,263.016,0.2207,51.1265,26.2732,19.5313,23.1845,47.855256,6.5790728,-245987.88,n,edge,,,
440235.02,34,508.002,75.969,716.438,508.107,76.236,715.939,505,512,71,82,693,739,1582,46,59,5.3145,3.436,-13.4886,5.1503,2.9279,-12.5276,464.252,1.1838,24.8654,333.2241,0.2287,51.0457,37.6072,18.1631,24.8657,39.789597,-0.63773243,-226402.65,n,edge,,,
440235.022,37,120.365,440.962,719.783,120.342,440.985,719.746,118,124,436,447,702,737,1136,35,59,5.8057,3.1076,-4.2934,5.5643,2.6426,-2.5861,339.1774,0.7984,8.9495,184.8962,0.2032,49.5291,25.913,18.4384,25.9249,46.252371,5.4414261,-223600.4,n,,,,
440235.031,48,502.285,117.591,804.664,502.344,117.494,804.341,498,509,115,122,790,823,643,33,40,5.6044,2.2163,68.728,5.0173,2.1415,70.2356,208.0381,1.0886,5.515,266.0823,0.2456,33.4114,28.3099,15.0518,28.6234,39.885657,0.04990526,-161328.09,n,,,,
441035.031,66,369.205,4.215,668.513,369.186,4.167,668.271,365,375,1,10,651,688,1440,37,60,4.7942,4.0515,73.5946,4.2943,3.6528,87.4855,446.6025,0.937,0,170.5053,0.2256,52.1676,30.9835,16.0551,0,42.10495,6.1611311,-261492.45,n,edge,,,
441035.037,72,337.067,134.944,648.672,337.086,134.993,649.367,334,341,131,140,635,663,838,28,53,4.7945,3.3776,18.3077,3.9851,3.0044,15.8025,363.6631,1.0689,22.8091,359.7718,0.2437,51.5518,21.2024,17.1041,17.7007,42.639959,8.3415598,-275407.93,y,,"124448, HIdetHVC",many potential sources here,
441035.043,80,103.555,5.906,697.941,103.434,6.006,697.784,101,107,2,11,686,712,678,26,39,4.6358,2.5418,27.2849,4.3508,2.2578,29.6448,188.7219,0.7128,7.6968,32.4374,0.208,34.8403,22.0135,15.7985,21.6233,46.534173,6.1917834,-239766.74,n,,,,
441035.044,84,67.854,334.443,685.057,67.841,334.39,684.932,64,72,329,341,668,703,1560,35,67,6.3554,3.331,-18.0767,5.636,2.9796,-16.4764,521.4442,0.9752,16.2625,352.2091,0.2078,63.5337,29.7029,18.3313,27.3162,47.127392,11.664851,-249227.5,m,,,,
441035.045,86,341.375,21.374,859.828,341.347,21.426,859.736,338,346,18,26,842,879,1073,37,50,4.9524,3.0253,-47.8605,4.1206,2.7379,-45.8357,291.2133,1.0106,26.4212,310.8177,0.2032,43.7488,29.909,19.6937,12.7384,42.568936,6.4487747,-120550.31,n,,,,
441035.046,87,440.228,213.672,709.523,440.119,213.645,709.207,438,444,209,219,694,728,900,34,46,4.8637,2.8344,10.0715,4.1627,2.4439,6.2721,316.7118,0.9195,15.0364,208.3014,0.1988,53.1066,26.7657,16.6166,20.2299,40.922744,9.6524395,-231358.4,m,,,,
441035.05,92,125.089,234.375,702.372,125.008,234.348,702.796,120,129,233,238,688,717,360,29,27,4.8169,1.6501,71.3718,3.8079,1.6376,68.5591,123.0741,0.996,5.8809,64.5486,0.2504,25.9015,20.6297,18.9062,20.3649,46.174606,9.9974942,-236077.43,n,,,,
