id,id_old,x_geo [pixels],y_geo [pixels],z_geo [pixels],x [pixels],y [pixels],z [pixels],x_min [pixels],x_max [pixels],y_min [pixels],y_max [pixels],z_min [pixels],z_max [pixels],n_pix,n_chan [channels],n_los [pixels],ell3s_maj [pixels],ell3s_min [pixels],ell3s_pa [deg],ell_maj [pixels],ell_min [pixels],ell_pa [deg],f_int [K],f_peak [K],f_wm50 [K],kin_pa [deg],rms [K],snr_int,w20 [channels],w50 [channels],wm50 [channels],ra [deg],dec [deg],vopt [m/s],yng,notes,stars
1323435.012,23,61.348,239.916,932.577,61.041,239.959,933.119,56,66,235,247,914,950,1611,36,91,5.5076,5.2191,-29.8884,5.0221,4.6764,-62.6926,401.4427,1.0736,0,315.9029,0.2232,44.8022,24.2116,16.4779,0,135.2409,34.091047,-66531.846,y,,n
1323435.021,34,61.388,178.198,952.826,61.439,178.405,952.347,59,65,174,183,935,972,1101,37,46,4.517,3.0366,14.3456,4.1314,2.766,13.2477,298.7095,0.8296,28.4728,60.9833,0.1887,47.7065,29.5731,16.3111,14.8337,135.23427,33.065143,-52377.156,y,,n
1323435.147,273,22.821,384.674,1125.887,22.741,384.671,1126.596,19,29,379,392,1106,1146,2059,40,86,5.9814,4.9665,11.5199,5.344,4.3867,11.013,489.6726,0.9444,32.6178,216.6061,0.2022,53.3696,33.1946,25.9395,22.9221,135.87922,36.502916,75891.637,y,,n
1323435.168,306,378.694,96.108,1844.319,378.632,95.977,1844.548,375,383,93,101,1814,1877,2147,63,51,4.2877,3.5838,22.655,3.392,3.0159,23.9505,608.2927,1.1451,7.412,251.0251,0.1701,77.1753,50.9737,33.0381,51.771,129.9477,31.691342,604392.4,y,possibly in NED?,n
1401035.251,420,350.208,500.532,1112.339,350.253,500.57,1112.154,348,354,497,506,1094,1132,1077,38,43,4.4621,3.0917,10.2589,3.8947,2.6548,9.9484,285.38,0.8242,8.5997,191.386,0.1884,46.1595,32.3838,20.554,27.5853,138.4207,14.434535,65259.91,y,,n
1401035.255,425,493.162,428.057,1131.775,493.16,428.177,1131.49,486,499,423,435,1114,1149,2193,35,111,6.868,5.1391,65.3692,6.0873,4.787,67.014,480.1091,0.8766,12.8187,128.7627,0.1819,56.3525,25.2488,16.3671,25.4268,136.03891,13.227971,79493.978,y,,n
1401035.262,434,78.568,63.037,1122.854,78.567,63.01,1122.939,73,86,58,68,1105,1144,2219,39,93,5.9091,4.5984,-86.6351,5.5153,4.1536,-85.4094,453.7415,0.807,32.7123,268.4122,0.1857,51.8711,29.0253,17.5925,16.6954,142.94881,7.1418493,73199.62,y,,n
1401035.268,440,240.387,53.983,1130.679,240.248,53.951,1130.612,236,246,49,60,1108,1156,1761,48,69,4.9365,4.2332,-63.0688,4.261,4.1603,-54.6393,368.0544,0.9029,14.2512,343.4859,0.2148,40.8311,33.2571,16.9333,28.9639,140.25412,6.9908673,78847.901,y,,n
1401835.293,498,451.21,64.586,1139.248,451.139,64.403,1139.254,447,456,59,70,1118,1163,1964,45,76,5.4769,4.2858,-11.0501,4.6911,3.7189,-16.1398,481.5444,0.9632,24.3891,341.8365,0.1732,62.7341,34.6176,21.3509,21.3571,136.73927,15.165088,85209.389,y,,n
1401835.303,510,310.506,50.365,1103.278,310.388,50.368,1103.378,306,316,47,54,1088,1121,1015,33,53,4.8181,3.2532,-89.4107,4.2898,2.9009,85.8588,216.6368,0.6817,14.4381,236.9054,0.166,40.9581,24.7321,16.9096,17.2249,139.08513,14.93117,58799.759,y,,n
1401835.31,517,452.727,32.549,1079.734,452.673,32.486,1080.22,447,459,28,38,1063,1099,1704,36,84,5.9933,4.2811,61.0959,4.9697,3.7978,67.3327,468.8457,0.8677,34.2205,43.2492,0.1874,60.604,27.7606,15.8592,15.4903,136.71369,14.633136,41752.668,y,,n
1402635.051,85,237.927,247.218,945.463,237.924,246.902,946.048,232,246,240,255,929,964,2795,35,138,7.4902,6.045,-15.3585,6.2098,5.114,-4.7428,907.6684,0.9121,0,3.7728,0.1917,89.5564,25.2597,16.5937,0,140.29285,26.206744,-57013.999,y,,n
1402635.07,112,322.237,477.592,971.528,322.229,477.51,972.096,317,329,472,484,949,993,3064,44,108,5.92,5.5948,-0.9234,5.2309,4.8779,24.6185,950.696,0.9969,40.8181,205.8652,0.2147,79.993,35.9894,19.2704,21.538,138.88777,30.050231,-37839.878,y,,n
1402635.073,115,207.573,275.142,973.646,207.431,275.07,972.658,203,212,272,279,953,1001,977,48,38,4.3166,2.9281,-65.2787,3.4682,2.7589,-65.3196,268.2301,1.0725,11.9437,120.5454,0.2282,37.6109,39.8305,22.3952,31.166,140.80108,26.676217,-37425.864,y,,n
1402635.22,341,12.432,451.255,1094.251,12.536,451.209,1093.991,5,18,443,458,1077,1115,2925,38,130,7.5627,5.6157,24.9496,6.8124,4.9486,17.5698,628.6645,0.786,28.6837,190.985,0.1849,62.8722,27.7773,16.9164,21.9715,144.04934,29.611873,51890.125,y,,n
1403435.128,199,175.176,233.167,1083.629,175.238,233.245,1083.811,171,180,230,238,1065,1103,1233,38,55,5.0032,3.3456,51.4338,4.706,2.9475,53.6589,280.8912,0.894,3.7316,241.2061,0.2026,39.478,23.4261,21.3146,34.1724,141.33762,33.979149,44395.967,y,,n
1403435.149,237,126.058,268.243,1065.397,125.941,268.242,1064.732,120,133,263,274,1044,1091,3389,47,125,7.0813,5.3765,69.5832,6.4375,4.6234,68.7841,827.7933,1.2854,52.1605,243.5033,0.1889,75.2641,29.9219,20.3514,18.2887,142.15924,34.562438,30351.606,y,,n
1403435.204,311,358.327,389.126,1133.97,358.283,389.093,1133.781,355,363,385,394,1110,1158,1678,48,56,4.4071,3.5565,46.666,4.0443,3.2627,47.2122,365.4955,1.0955,12.8486,309.3291,0.1944,45.9059,38.7912,19.4088,30.2388,138.28686,36.576623,81180.143,y,,n
1403435.207,314,265.246,193.838,1195.249,265.28,193.686,1195.353,261,270,190,201,1176,1214,1531,38,72,5.221,4.2627,-33.1736,4.4656,3.6773,-54.3461,345.6727,1.0332,15.328,72.6211,0.1592,55.4996,26.5936,15.8375,23.6777,139.83692,33.319828,126504.73,y,,n
1480235.142,247,295.152,170.928,1118.751,295.126,170.889,1119.508,288,304,165,177,1095,1139,3588,44,138,7.9166,5.3065,-71.8538,7.2457,4.7684,-73.4032,816.4625,0.9963,12.4802,72.0701,0.2049,66.5386,34.3232,22.5806,34.7467,147.33949,0.93982516,70673.828,y,,n
1480235.148,256,279.469,169.666,1114.08,279.584,169.761,1113.645,273,285,165,176,1098,1129,1576,31,84,6.1841,4.1804,-61.3374,5.55,3.8499,-58.1302,384.0631,0.8459,21.7547,181.5526,0.2019,47.9222,24.4326,15.5833,17.8715,147.59854,0.92101766,66358.124,y,,n
1481035.072,112,78.457,77.993,964.94,78.377,78.072,966.042,72,86,73,84,946,984,2732,38,115,6.6251,5.3092,85.0633,5.9938,4.6929,-89.8686,664.0259,0.9461,18.2056,62.6791,0.196,64.8055,26.7192,20.1191,26.2977,150.95199,7.3928854,-42295.923,y,,n
1481035.077,122,67.485,199.246,960.746,67.557,199.171,961.264,64,72,196,204,945,974,882,29,53,4.5303,3.469,34.1831,3.8464,3.1438,49.0274,234.4634,0.8198,7.293,287.8071,0.1799,43.8835,20.5844,15.1858,20.6198,151.13233,9.411208,-45813.367,y,,n
1481835.002,4,315.332,136.107,166.328,315.292,136.06,166.585,312,321,134,140,150,189,756,39,42,4.2539,3.1444,89.4168,3.6508,2.8522,83.1606,230.9335,1.3433,7.2351,112.9494,0.1952,43.017,30.1876,16.6108,30.3948,147.0034,16.359368,-630794.43,y,,n
1481835.233,408,59.63,316.528,1052.389,59.602,316.276,1051.479,55,65,312,322,1039,1068,1187,29,65,4.6123,4.3636,55.4404,4.1979,3.894,44.884,236.3521,0.866,25.7516,249.9319,0.1641,41.8087,22.1289,19.3629,10.6824,151.26491,19.362976,20595.928,y,,n
1560235.151,239,321.509,296.563,1069.304,321.583,296.731,1069.449,318,329,292,302,1050,1087,1424,37,74,5.8952,3.9319,-41.1419,5.2289,3.6979,-43.3505,384.6167,0.8691,19.7153,307.2421,0.21,48.5396,28.8276,17.0841,18.9656,154.89857,3.0371811,33823.853,y,,n
1561035.227,410,44.046,263.404,1148.336,44.137,263.291,1148.792,41,49,260,267,1135,1166,868,31,44,4.0941,3.205,64.8392,3.819,2.9223,66.381,180.5636,0.7783,18.9037,118.0288,0.1739,35.2366,23.5459,15.6324,11.7186,159.52268,10.479879,92230.669,y,,n
1563435.035,59,140.62,275.976,931.738,140.515,276.075,932.675,135,147,272,281,918,947,1265,29,78,6.0107,4.0613,73.7295,5.2964,3.695,77.447,400.1382,0.8681,18.7912,303.7509,0.2228,50.5036,22.1919,15.0267,20.3295,157.91638,34.692988,-66858.674,y,,n
1641035.188,304,320.991,460.236,1130.302,320.993,460.224,1130.533,316,326,456,468,1110,1151,1941,41,79,5.3967,4.4378,-6.8515,4.6235,4.1979,4.3476,355.9934,0.7794,17.5452,128.9345,0.1718,47.0395,30.1684,19.1028,19.5489,162.90845,13.762078,78789.214,y,,n
1642635.18,292,139.214,405.002,1877.637,139.575,405.433,1878.988,134,145,400,411,1839,1907,4201,68,91,5.359,5.1563,43.1878,3.8531,3.6221,-16.5586,2319.5077,2.9425,82.2861,350.0653,0.1716,208.5959,56.5988,47.195,35.5587,165.93209,28.848895,629744.07,y,possibly in NED?,n
1642635.182,294,350.885,110.056,1105.986,350.945,110.075,1105.992,346,357,105,116,1081,1127,2375,46,88,5.7791,4.641,61.0549,5.0903,4.2994,57.205,400.0816,0.7906,19.4067,264.7526,0.1609,51.0288,38.2079,27.532,28.0161,162.40925,23.92625,60724.174,y,,n
1801835.192,336,430.491,224.682,1057.475,430.49,224.918,1056.954,427,435,221,230,1042,1073,1013,31,54,4.6585,3.1185,-17.6309,4.0877,2.9134,-21.7715,215.3525,0.8326,5.9458,336.6133,0.1559,43.3917,26.7508,16.017,26.6737,177.0835,17.8403,24625.979,y,,n
1801835.193,337,410.17,230.647,1063.597,410.211,230.583,1063.858,405,418,225,237,1042,1085,2747,43,105,6.0148,5.2556,84.5029,5.1869,4.9152,-74.0259,472.9218,0.7096,0.5127,57.8556,0.1506,59.9041,33.1291,21.4623,40.7792,177.42147,17.934716,29708.092,y,,n
1880235.017,29,354.949,234.801,951.316,354.941,234.655,950.885,351,360,230,242,927,973,2133,46,76,5.4937,3.8929,9.9525,5.037,3.7407,9.1592,382.2164,0.832,9.5784,26.1594,0.1939,42.6822,37.0544,25.5229,36.7915,186.34264,2.0025898,-53453.507,y,,n
1880235.131,233,296.106,93.711,1056.566,296.165,93.67,1056.345,289,305,87,102,1023,1090,4772,67,157,7.4168,6.2907,35.1222,6.6526,5.3269,26.0722,1345.999,1.2804,11.706,44.8835,0.2236,87.1288,50.5914,41.7061,54.6953,187.32225,-0.34717073,24177.789,y,,n
1880235.232,402,174.758,223.422,1067.07,174.727,223.59,1067.175,169,181,218,229,1050,1084,1726,34,90,6.0135,4.5547,38.3362,5.7793,4.3395,42.5838,367.8113,1.0511,0,13.1421,0.2001,44.2474,24.564,15.099,0,189.34622,1.8181585,32150.107,y,,n
1881035.112,171,37.902,493.652,1045.941,37.999,493.482,1044.459,30,44,487,501,1027,1063,3108,36,139,7.4136,5.8723,-30.1606,7.08,5.5869,-28.0735,554.8222,0.9572,0,154.927,0.2042,48.7272,25.6287,17.9261,0,191.62503,14.316374,15428.544,y,,n
1881835.196,320,440.086,119.12,1099.048,440.081,118.983,1099.08,433,448,115,125,1079,1120,2809,41,116,6.9542,4.6752,-84.7376,6.4658,4.0563,-82.4744,589.3574,0.9702,59.1513,84.0472,0.1769,62.8546,25.6476,17.7458,5.1358,184.92365,16.07471,55636.256,y,,n
1882635.187,352,271.797,109.294,1035.688,271.909,109.311,1035.924,267,277,103,117,1016,1056,2624,40,109,6.6964,4.6148,19.0513,6.04,4.3096,22.1317,532.04,1.0322,19.0997,211.4544,0.1883,55.1532,30.069,24.2009,27.7676,187.72651,23.913507,9145.4553,y,,n
1960235.192,297,10.365,430.518,1068.614,10.494,430.374,1067.425,6,17,424,437,1051,1090,2006,39,84,6.1435,4.4666,31.7321,5.5759,3.941,36.916,457.2461,0.9958,24.1896,2.308,0.1831,55.7546,27.859,18.7073,22.5437,200.08344,5.2645722,32334.546,y,,n
1961035.02,25,77.192,112.892,976.675,77.1,112.635,977.014,75,81,109,117,960,994,833,34,39,4.2017,2.8761,-23.948,4.0015,2.554,-26.309,164.5955,0.7237,8.6599,356.4271,0.1902,29.982,25.5566,16.7796,19.9945,198.97338,7.9689248,-34219.317,y,,n
1961035.138,234,351.301,162.495,1198.872,351.167,162.462,1200.825,345,360,156,170,1161,1237,7203,76,163,7.5751,6.1306,-58.8591,6.1186,5.3055,-58.5598,1667.3933,1.4079,52.9602,290.5327,0.1755,111.9261,48.8729,36.517,41.0788,194.40557,8.7993867,130533.24,y,,n
1961035.148,251,367.652,144.613,1237.352,367.492,144.342,1237.75,362,378,137,153,1205,1276,6492,71,165,7.6301,6.8936,27.5699,7.0625,5.9926,9.2205,1326.7919,1.1687,21.186,182.9167,0.1776,92.7175,50.231,30.4567,49.9218,194.13349,8.4973831,157714.4,y,,n
1961835.159,299,153.516,94.083,1067.436,153.353,93.855,1065.598,149,158,90,99,1044,1090,1578,46,54,4.89,3.2943,-43.376,4.3877,3.0565,-44.7693,260.8293,0.8948,7.3976,276.8013,0.1593,41.2209,33.2457,20.8598,32.9856,197.70248,15.65594,30989.532,y,,n
2041035.029,37,384.028,283.172,977.207,384.255,283.113,978.524,377,392,277,290,955,1000,3395,45,141,7.3564,5.361,50.6294,6.1804,4.6295,57.1926,886.3349,1.2653,25.0998,216.2862,0.1934,78.6348,25.635,14.7665,25.4339,201.85409,10.810224,-33107.512,y,,n
2041035.031,39,304.516,352.521,985.587,304.565,352.678,986.811,300,310,348,358,966,1003,1918,37,78,5.1009,4.6071,-35.0105,4.6254,4.0148,-33.9117,367.1043,0.7257,12.9148,200.3716,0.1676,50.027,26.9189,15.5261,26.564,203.18224,11.969636,-27007.412,y,,n
2041035.17,296,168.316,335.902,1067.537,168.251,335.887,1067.082,165,173,331,342,1044,1090,1688,46,66,5.0448,3.6773,-6.5751,4.7153,3.4539,-11.6618,277.4541,0.8014,0,143.4242,0.1754,38.4999,34.6148,24.2054,0,205.45415,11.689784,32081.561,y,,n
2041835.009,9,79.508,118.162,945.18,79.646,118.252,945.926,76,85,113,123,928,961,1282,33,77,5.1967,4.1837,0.2661,4.4035,3.9064,18.9127,268.5589,0.7759,0,253.1702,0.1783,42.0586,27.4938,15.1163,0,206.93091,16.062523,-57103.708,y,,n
2041835.01,10,365.993,220.369,947.436,366.072,220.363,947.57,362,371,217,225,928,967,1379,39,62,4.7182,3.754,-89.5857,4.2383,3.415,-82.8146,231.3407,0.7641,7.6328,76.7319,0.1484,41.9785,28.0961,14.6131,27.9492,202.15713,17.764382,-55894.113,y,,n
2041835.036,60,130.996,260.179,976.967,131.102,260.064,976.784,128,136,256,266,958,998,1414,40,60,5.0286,3.4422,-22.4703,4.4757,3.1952,-15.8921,226.3184,0.5851,8.8826,138.4557,0.1379,43.6466,34.6797,25.9499,26.5527,206.07331,18.426067,-34388.68,y,,n
2042635.014,19,234.488,19.654,981.939,234.67,19.564,982.694,230,239,15,25,962,1004,1994,42,71,5.5382,3.8296,32.5946,5.1589,3.4735,34.9865,345.7437,0.6403,15.2715,42.1648,0.1476,52.4446,34.0154,23.6654,25.0238,204.34716,22.41773,-30038.57,y,,n
2043435.006,10,395.024,233.695,891.984,394.996,233.768,892.484,390,400,228,241,872,915,2950,43,102,6.6185,4.7705,-23.3789,6.0188,4.272,-20.529,425.9693,0.5471,28.0088,331.7783,0.1277,61.4,32.9216,21.3964,15.6208,201.67506,33.987796,-96443.635,y,,n
