# id,id_old,x_geo [pixels],y_geo [pixels],z_geo [pixels],x [pixels],y [pixels],z [pixels],x_min [pixels],x_max [pixels],y_min [pixels],y_max [pixels],z_min [pixels],z_max [pixels],n_pix,n_chan [channels],n_los [pixels],ell3s_maj [pixels],ell3s_min [pixels],ell3s_pa [deg],ell_maj [pixels],ell_min [pixels],ell_pa [deg],f_int [K],f_peak [K],f_wm50 [K],kin_pa [deg],rms [K],snr_int,w20 [channels],w50 [channels],wm50 [channels],ra [deg],dec [deg],vopt [m/s],y/n/m
1401835.261,459,319.389,78.998,1099.637,319.362,78.994,1099.748,316,326,75,82,1084,1117,568,33,34,6.0358,2.0073,62.9169,5.2449,1.7713,64.3757,138.3936,0.783,4.8293,240.3502,0.1723,33.6926,27.5269,19.6371,27.1326,138.93555,15.408271,56128.205,n
1401835.269,469,507.93,169.608,1057.313,508.152,169.656,1056.662,503,512,162,177,1038,1080,2552,42,90,7.8594,3.5797,21.3457,6.8782,3.2508,22.9347,699.5683,0.8396,32.1247,39.2066,0.16,86.555,34.992,24.1541,24.0106,135.78905,16.919293,24411.57,n
1401835.273,475,21.705,13.16,1058.658,21.71,13.222,1058.831,18,26,7,21,1041,1077,1884,36,79,7.3797,3.4033,19.2895,6.6681,2.9886,17.5684,404.5036,0.6995,1.5327,21.0089,0.1541,60.4723,28.6834,21.3333,32.9247,143.89643,14.312055,26007.731,n
1401835.291,496,238.099,15.931,1118.355,237.966,15.604,1119.086,234,245,8,22,1103,1142,899,39,67,7.8997,3.059,-32.7006,7.8771,2.8764,-31.9808,204.918,0.8041,2.4055,135.2592,0.1779,38.4135,33.0343,22.4477,36.6261,140.29216,14.351754,70363.387,n
1401835.301,507,409.953,117.186,1401.685,409.837,117.184,1401.4,405,418,114,122,1382,1422,1708,40,66,6.5058,3.3053,78.0033,6.357,2.9252,77.0644,410.3665,1.1441,20.7558,69.6709,0.1846,53.8021,33.5123,24.3828,24.5958,137.42764,16.04477,278180.61,n
1402635.032,51,218.541,355.349,919.003,218.686,355.282,919.608,215,223,352,359,903,934,867,31,41,4.6995,2.7125,56.6035,4.2869,2.5348,61.4814,224.3692,1.0877,8.9482,72.61,0.2239,34.0267,25.4774,15.7827,25.1401,140.6135,28.013082,-76477.458,n
1402635.033,54,236.677,337.213,924.046,236.732,337.282,924.31,233,241,333,342,907,943,1206,36,53,4.9559,3.1608,37.1853,4.5314,2.8271,41.6089,298.1617,0.9253,9.1612,30.5734,0.1855,46.2925,29.8811,22.1877,25.0292,140.31273,27.71309,-73015.73,n
1402635.051,85,237.927,247.218,945.463,237.924,246.902,946.048,232,246,240,255,929,964,2795,35,138,7.4902,6.045,-15.3585,6.2098,5.114,-4.7428,907.6684,0.9121,0,3.7728,0.1917,89.5564,25.2597,16.5937,0,140.29285,26.206744,-57013.999,n
1402635.054,88,166.35,266.559,929.166,166.239,266.603,929.133,161,171,263,272,913,948,1285,35,62,5.6236,3.5883,-49.0842,4.789,3.2464,-44.1085,336.2059,0.7911,14.1381,131.1517,0.183,51.2489,26.7349,23.0792,25.7828,141.48761,26.5351,-69465.76,n
1402635.070,112,322.237,477.592,971.528,322.229,477.51,972.096,317,329,472,484,949,993,3064,44,108,5.92,5.5948,-0.9234,5.2309,4.8779,24.6185,950.696,0.9969,40.8181,205.8652,0.2147,79.993,35.9894,19.2704,21.538,138.88777,30.050231,-37839.878,n
1402635.082,129,375.292,347.068,971.997,375.295,347.038,972.173,370,381,342,354,954,991,2302,37,94,6.1574,4.8651,30.0962,5.4244,4.4493,34.4305,652.4339,0.8488,9.4165,204.1344,0.1758,77.3416,28.7776,19.2536,30.7787,138.00333,27.875689,-37782.64,n
